# R
tensor,x^0,x^1,x^2
y^0,39.45644393137582,-0.004100896536036584,4.613986954511946e-08
y^1,0.004315327270200558,-5.280884872481766e-08,0.0
y^2,-4.2207688918815404e-07,0.0,0.0
# G
tensor,x^0,x^1,x^2
y^0,40.2264223087751,-0.003757847565246061,3.578214919118233e-08
y^1,0.003965083987990692,-6.242343017260779e-08,0.0
y^2,-3.8616435468477026e-07,0.0,0.0
# B
tensor,x^0,x^1,x^2
y^0,42.67806621593123,-0.004150104077070707,-3.403478116922171e-08
y^1,0.004128686517370059,-7.754055628647321e-10,0.0
y^2,-4.4076098042457457e-07,0.0,0.0
