# R
polynomial,x^0,x^1,x^2
y^0,0.5870441,2.6342308e-05,-1.4875196e-09
y^1,2.4982797e-05,3.3361642e-09,0.0
y^2,-1.0267772e-09,0.0,0.0
# G
polynomial,x^0,x^1,x^2
y^0,0.498288,1.7950435e-05,-4.5517465e-10
y^1,1.9680489e-05,2.0246433e-09,0.0
y^2,-1.0032414e-09,0.0,0.0
# B
polynomial,x^0,x^1,x^2
y^0,0.48891497,1.3007285e-05,-2.6214528e-10
y^1,1.6764523e-05,1.999422e-09,0.0
y^2,-8.161461e-10,0.0,0.0
